addr1,cat1,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,modifiedtime,sigungucode,archive_picture,lDongRegnCd,lDongSignguCd,usetime,overview,spot_code,parking_fee,cat2,title,past_image_url,past_image,이동_대중교통,이동_자차,활동_산책,동반_아이,동반_반려동물,청결_시설,뷰_야경_경관,휴식_조용함,유명,정보_구성_체험,볼거리_재미
인천광역시 강화군 강화읍 해안동로1366번길 18,A02,A02010200,1254680,12,2011-04-12,http://tong.visitkorea.or.kr/cms/resource/71/3364171_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3364171_image3_1.jpg,Type3,126.517114,37.7335377,2025-03-14,1,1,28,710,09:00~18:00 (입장마감 17:00),"돈대는 해안가나 접경지역에 돌이나 흙으로 쌓은 소규모 관측·방어시설로, 조선시대 강화도 해안에 돌로 쌓은 돈대 53개가 설치됐다. 갑곶돈대는 1679년 5월에 완성된 48 돈대 가운데 하나이다. 강화 돈대는 황해도·강원도·함경도 승군 8,900명과 어영청 소속 어영군 4,262명이 80일 정도 걸려서 쌓았다. 갑곶돈대는 망해돈대·제승돈대·염주돈대와 함께 제물진의 관할 하에 있었으며, 포좌가 있는 본래의 갑곶돈대는 옛 강화대교 입구 북쪽 언덕에 있었다. 지금 사적으로 지정된 갑곶돈대는 제물진과 강화 외성의 일부이다. 갑곶돈대에서는 강화전쟁박물관, 강화 갑곶리 탱자나무, 홍이포, 이섭정, 비석군 등을 관람할 수 있다.
 
(출처: 강화군시설관리공단 홈페이지)",1254680,0,A0201,갑곶돈대,,0,0,1,1,1,0,1,1,1,0,1,1
인천광역시 강화군 강화읍 해안동로1366번길 35,A02,A02010900,2768133,12,2021-11-04,,,,126.5174945,37.73419597,2024-05-02,1,0,28,710,"[미사] <br>
- 주 일 : 11:00, 16:00 <br>
- 토요일 : 11:00, 16:00(주일미사) <br>
- 월~금요일 : 11:00 <br>
- 고해성사 : 매 미사 한 시간 전 <br>
[성지순례] <br>
- 예약 시간","1866년 프랑스인 성직자 9명을 처형한 책임을 물어 프랑스 함대가 갑곶 돈대로 상륙했다. 이로 인해 강화 지방에서는 혹독한 박해가 시작됐고 갑곶 성지가 보이는 백사장에서 많은 신자가 순교했다. 또 1871년에는 미국 군함에 다녀왔다는 죄로 우윤집, 최순복, 박상손 등이 갑곶 진두에서 순교했다. 후에 천주교 인천 교구는 갑곶 진두의 정확한 위치를 찾아 지금의 갑곶 순교성지를 조성하고 2004년 2월 10일 갑곶 순교성지 첫 미사를 드렸다. 강화도 성지로 일만 위 순교자 현양 동산, 진무영(鎭武營) 순교성지, 관청리 형방이 있으며, 십자가의 길, 순교자 삼위비, 박순집 베드로 묘 등을 순례할 수 있다. 성지순례를 위해서는 홈페이지를 통해 사전 예약해야 한다.",2768133,2,A0201,갑곶순교성지,,0,0,1,1,0,0,0,0,1,0,1,0
인천광역시 강화군 하점면 부근리,A02,A02010700,125565,12,2006-03-02,http://tong.visitkorea.or.kr/cms/resource/97/3309797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/3309797_image3_1.jpg,Type3,126.437473,37.77343442,2025-03-13,1,0,28,710,상시 개방,"고인돌은 청동기시대의 대표적인 무덤으로, 주로 경제력이 있거나 정치권력을 가진 지배층의 무덤으로 알려져 있다. 강화 부근리 고인돌은 길이 710cm, 높이 260cm, 넓이 550cm의 커다란 돌을 사용했으며, 형태는 북방식 고인돌로서 고대사 연구에 좋은 자료가 되고 있다. 2000년 11월 29일 호주 케인즈 제24차 유네스코 세계문화유산위원회에서 고창, 화순의 고인돌과 함께 세계문화유산으로 등재됐다. 강화도 고인돌 유적은 고인돌의 제작 기겁과 선사시대의 다양한 무덤 형태 등에 대해 알 수 있는 공간으로 아이와 함께 역사 여행을 즐기기 좋은 곳이다.",125565,0,A0201,강화 고인돌 유적 [유네스코 세계유산],,0,0,1,1,1,0,1,1,0,0,0,1
인천광역시 강화군 불은면 덕진로 31-9,A02,A02010200,127185,12,2004-02-24,http://tong.visitkorea.or.kr/cms/resource/91/3307391_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3307391_image3_1.jpg,Type3,126.5256656,37.64920602,2025-03-13,1,1,28,710,09:00~18:00,"고려시대에 강화해협을 지키던 외성의 요충지이다. 병자호란 뒤 강화도를 보호하기 위한 방법으로 내성·외성·돈대·진보 등의 12 진보를 만들었는데 그중의 하나이다. 현종 7년(1666) 국방력 강화를 위해 해군주둔지(수영)에 속해 있던 덕진진을 덕포로 옮겼으며, 숙종 5년(1679)에 용두돈대와 덕진돈대를 거느리고 덕진포대와 남장포대를 관할함으로써 강화해협에서 가장 강력한 포대로 알려져 있었고, 강화 12 진보 가운데 가장 중요한 곳을 지키고 있었다. 1866년 병인양요 때는 양헌수의 군대가 덕진진을 거쳐 정족산성으로 들어가 프랑스 군대를 격파하였으며, 1871년 신미양요 때는 미국 함대와 가장 치열한 포격전을 벌인 곳이다. 그러나 초지진에 상륙한 미국군대에 의하여 점령당하였다. 이때 건물에 몸을 숨겨서 적과 싸울 수 있도록 쌓았던 낮은 담은 모두 파괴되었다. 1976년 성곽과 돈대를 고치고 남장포대도 고쳐 쌓았으며, 앞면 3칸·옆면 2칸의 문의 누각도 다시 세웠고, 당시의 대포를 복원하여 설치하였다.

(출처 : 국가유산청)",127185,0,A0201,강화 덕진진,,0,0,1,1,1,1,1,1,0,0,1,1
인천광역시 강화군 서도면 주문도길 256-1,A02,A02010900,250326,12,2007-10-23,,,,126.2442777,37.64368507,2024-05-29,1,1,28,710,,"강화도는 19세기 말 조선이 문호를 개방할 때 지리적 여건으로 가장 먼저 영향을 받은 탓에 서양인들의 선교 활동도 활발하게 이루어진 곳이다.  당시에 세워진 교회 중 지금까지 강화도에 남아있는 것만 3곳에 이른다. 1900년에 세운 성공회 강화 성당, 1906년에 세워진 강화 온수리 성공회 교회 그리고 서도 중앙 교회가 현존하고 있는 당시의 교회들이다. 
그중 서도 중앙 교회는 1923년 2월 교인들의 건축 헌금으로 지어지기 시작해 같은 해 7월에 완공된 한옥 예배당이다. 1978년 주문 교회에서 서도 중앙 교회로 명칭이 변경되었다. 현재 대한 기독교 감리회 소속이다. 건물 내부는 중세 전기의 서양 교회 양식을 하고 있지만 매우 단순하여 예배실로 쓰이는 좁은 신랑과 측랑, 중앙의 강단으로만 구성돼 있다. 전면에는 강단 위에 설교대를 두었으며, 바닥은 마루를 깔았다. 이 건축물은 우리 전통 목조건물의 가구 형식을 바탕으로 서양 교회를 지었다는데 큰 의미를 지니고 있다. 옛 모습을 잘 보존하고 있으면서 지금도 종교시설로 사용되고 있다.",250326,2,A0201,강화 서도 중앙교회,,0,0,1,0,0,0,0,0,0,0,0,0
인천광역시 강화군 강화읍 국화리,A02,A02010300,128813,12,2006-03-06,http://tong.visitkorea.or.kr/cms/resource/94/3351994_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/3351994_image3_1.jpg,Type3,126.4756786,37.74682431,2025-03-14,1,1,28,710,상시 개방,"강화읍의 중심부를 흐르는 동락천 위에 설치하였던 수문이다. 조선 숙종 37년(1711)에 강화산성의 내성을 쌓을 때 연결하여 처음 설치하였으나, 광무 4년(1900)에 갑곶 나루터의 통로로 삼기 위하여 개천 어구에 옮겼다. 그 뒤 1977년에 다시 지금의 위치로 옮겨 복원하였다. 길이는 18.2m이고 높이는 2.7m, 너비는 4.7m이다. 무지개 모양의 수문이 3개이며, 화강암을 다듬어 쌓았다. 

(출처 : 국가유산청)",128813,0,A0201,강화 석수문,,0,0,1,1,0,0,0,0,1,0,1,0
인천광역시 강화군 선원면 선원사지로 222,A02,A02010700,250304,12,2007-10-22,http://tong.visitkorea.or.kr/cms/resource/15/3352015_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3352015_image3_1.jpg,Type3,126.4924889,37.7188251,2025-03-13,1,0,28,710,상시 개방,"강화 선원사지는 1976년 동국대학교 강화도학술조사단이 강화도 일원에 대한 지표조사에서 처음 발견하였다. 발견 당시 이곳에서 몇 개의 주춧돌을 비롯하여 보상화 무늬 전돌, 범자(梵字) 새긴 기와, 지붕에 얹었던 잡상들을 확인하고, 선원면(仙源面) 도감마을, 도감산에 있는 사지이므로 학술적·역사적으로 가치가 있어 지역의 연원을 기초하여 1977년에 사적 강화선원사지(江華仙源寺址)로 지정되었다.",250304,0,A0201,강화 선원사지,,0,0,1,0,0,0,0,0,0,0,0,0
인천광역시 강화군 하점면 장정리,A02,A02010700,128823,12,2006-03-08,,,,126.4256211,37.78094167,2024-06-17,1,0,28,710,,"강화군 봉천산 아래에 있는 고려시대의 석조불상이다. 두꺼운 화강암의 판석에 새겼는데, 현재는 전각을 지어서 그 안에 있다. 전체적으로 장대하고 비례가 좋은 편이나 큰 얼굴, 좁은 어깨, 큰 손 등이 다소 균형감을 깨고 있다. 높이 2.8m의 마애불로 머리 위에 큼직한 육계가 솟아 있고 얼굴은 둥근 편으로 입가부터 양쪽 볼과 눈매에 이르기까지 미소를 가득 머금고 있다. 양감이 있는 얼굴, 짧은 목, 움츠린 어깨, 형식적인 옷 주름 등에서 고려시대 불상의 특징을 잘 나타내고 있는 작품이라고 할 수 있어 제작 시기를 11세기경으로 추정하고 있다. 후손이 조상의 은공을 기리기 위하여 봉은사라는 사찰을 짓고 이 석조여래입상을 새겨 매년 제사를 올려 은혜에 보답하고자 한다는 전설이 전해져온다.",128823,0,A0201,강화 장정리 석조여래입상,,0,0,1,0,0,0,0,0,1,0,1,0
인천광역시 강화군 길상면 전등사로 37-41,A02,A02010800,125534,12,2004-02-24,http://tong.visitkorea.or.kr/cms/resource/74/3494874_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/3494874_image3_1.jpg,Type1,126.4829145,37.63169342,2025-06-02,1,0,28,710,09:00~17:30,"전등사는 현존하는 한국 사찰 중 가장 오랜 역사를 가졌으며, 부처님의 가피로 나라를 지킨 호국불교 근본도량으로 역사와 권위를 간직한 사찰이다. ‘세종실록지리지’에 기록된 바와 같이 삼랑성은 단군이 세 아들(三郞)을 시켜 쌓았던 고대의 토성이었고, 삼국시대에는 토성 자리에 석성을 쌓아 올려 오늘날까지 이어지고 있다. 전등사가 창건된 것은 서기 381년(고구려 소수림왕 11년)으로 전해지고 있다. 처음 전등사를 창건한 분은 진나라에서 건너온 아도 화상이었다. 당시 아도 화상은 강화도를 거쳐 신라 땅에 불교를 전한 것으로 알려지고 있다. 아도 화상이 강화도에 머물고 있을 때 지금의 전등사 자리에 절을 지었으니 그때의 이름은 ‘진종사(眞宗寺)’라 하였다. 이후 고려 왕실에서는 삼랑성 안에 가궐을 지은 후 진종사를 크게 중창시켰으며, 16년이 지난 충렬왕 때 왕비인 정화궁주가 진종사에 경전과 옥등을 시주한 것을 계기로 ‘전등사’라 사찰 명칭을 바꾸었다. 이후 조선 광해군 때인 1614년에 화재로 인해 건물이 모두 소실되었다가 지경 스님을 중심으로 재건을 시작하여 1621년 2월에 전등사의 옛 모습을 되찾았다. 
전등사에는 대웅전, 약사전, 범종 등 대한민국의 보물이 있고, 조선왕조실록을 보관했던 정족사고가 경내에 있다. 또, 동문 쪽에는 전등사가 호국불교의 진원지임을 증명하는 양헌수승전비가 있다. 병인양요 때 전략적 요충지였던 전등사에 쳐들어온 프랑스군을 물리치고 나라를 위기에서 구한 양헌수 장군의 공적을 기념하기 위해 고종 10년인 1873년에 건립한 것이다. 체험 프로그램으로는 템플스테이가 준비되어 있으며, 당일형, 체험형, 휴식형으로 나뉘어 있다. 당일형은 짧은 시간 틈을 내 한국의 불교문화를 체험할 수 있도록 구성되어 있고, 체험형은 계절 또는 참가자들의 특성에 따라 사찰마다 조금씩 다른 프로그램들이 진행되고, 휴식형은 말 그대로 사찰에 머물며 지친 몸과 마음을 잠시 쉴 수 있도록 도와주는 프로그램이다.",125534,1,A0201,강화 전등사,,0,0,1,0,0,0,0,0,0,0,0,0
인천광역시 강화군 화도면 흥왕리,A02,A02010900,127802,12,2004-02-24,,,,126.4315613,37.61401957,2024-06-12,1,1,28,710,"11월~2월 09:00~17:00<br>
3월, 4월, 5월, 9월, 10월 09:00~18:00<br>
6월, 7월, 8월 08:00~18:30","참성단은 단군이 하늘에 제사를 올리던 제단이라고 전한다. 화도면 마니산 정상에 위치하며 정확한 축조 시기는 알 수 없지만, 고려사 기록을 통해 참성단이 13세기 이전에 축조되었음을 알 수 있다. 참성단은 고려와 조선시대 왕의 이름으로 국가에서 제사를 거행하던 장소로 대부분 관리가 국왕을 대신하여 제사하였다. 참성단이 민족의 성지로 주목을 받게 된 것은 구한말 단군을 숭배하는 대종교가 성립한 이후이다. 이때부터 강화도는 단군 정치중심지의 하나로 인식되고 참성단의 네모난 상단과 둥근 하단은 각각 땅과 하늘을 상징하는 것으로 해석되었다. 참성단은 제천의식뿐만 아니라, 1955년 이후 전국체전의 성화를 채화해 경기장으로 봉송하고 있다.",127802,2,A0201,강화 참성단,,0,0,1,1,0,0,0,0,1,0,1,0
